ArraySize(inKB),Thread_Count,Random,Sequential,Read_Modify_Write,CPU_TIME,,,,
4,16,1,0,0,85.9375,,,,
4,16,1,0,0,24.414062,,,,
4,16,1,0,0,45.898438,,,,
4,16,1,0,0,62.5,,,,
4,16,1,0,0,14.648438,,,,
4,16,1,0,0,9.765625,,,,
4,16,1,0,0,6.835938,,,,
4,16,1,0,0,19.53125,,,,
-,-,-,-,-,,,,,
8,16,1,0,0,5.371094,,,,
8,16,1,0,0,9.277344,,,,
8,16,1,0,0,430.175781,,,,
8,16,1,0,0,484.863281,,,,
8,16,1,0,0,57.128906,,,,
8,16,1,0,0,31.25,,,,
8,16,1,0,0,18.554688,,,,
8,16,1,0,0,51.757812,,,,
8,16,1,0,0,5.371094,,,,
8,16,1,0,0,5.371094,,,,
8,16,1,0,0,77.148438,,,,
8,16,1,0,0,168.457031,,,,
8,16,1,0,0,4.882812,,,,
8,16,1,0,0,21.972656,,,,
8,16,1,0,0,34.179688,,,,
8,16,1,0,0,55.664062,,,,
-,-,-,-,-,,,,,
16,16,1,0,0,4.882812,,,,
16,16,1,0,0,8.300781,,,,
16,16,1,0,0,6.103516,,,,
16,16,1,0,0,141.845703,,,,
16,16,1,0,0,24.414062,,,,
16,16,1,0,0,147.705078,,,,
16,16,1,0,0,23.681641,,,,
16,16,1,0,0,5.859375,,,,
16,16,1,0,0,301.025391,,,,
16,16,1,0,0,4.882812,,,,
16,16,1,0,0,10.986328,,,,
16,16,1,0,0,152.587891,,,,
16,16,1,0,0,25.146484,,,,
16,16,1,0,0,30.517578,,,,
16,16,1,0,0,8.789062,,,,
16,16,1,0,0,10.986328,,,,
-,-,-,-,-,,,,,
32,16,1,0,0,7.080078,,,,
32,16,1,0,0,14.770508,,,,
32,16,1,0,0,12.695312,,,,
32,16,1,0,0,14.526367,,,,
32,16,1,0,0,24.414062,,,,
32,16,1,0,0,13.793945,,,,
32,16,1,0,0,77.758789,,,,
32,16,1,0,0,7.080078,,,,
32,16,1,0,0,50.65918,,,,
32,16,1,0,0,6.347656,,,,
32,16,1,0,0,41.015625,,,,
32,16,1,0,0,13.061523,,,,
32,16,1,0,0,46.020508,,,,
32,16,1,0,0,13.061523,,,,
32,16,1,0,0,8.789062,,,,
32,16,1,0,0,11.474609,,,,
-,-,-,-,-,,,,,
64,16,1,0,0,10.375977,,,,
64,16,1,0,0,7.69043,,,,
64,16,1,0,0,34.118652,,,,
64,16,1,0,0,34.729004,,,,
64,16,1,0,0,26.245117,,,,
64,16,1,0,0,97.106934,,,,
64,16,1,0,0,10.864258,,,,
64,16,1,0,0,9.58252,,,,
64,16,1,0,0,8.972168,,,,
64,16,1,0,0,22.399902,,,,
64,16,1,0,0,5.554199,,,,
64,16,1,0,0,12.939453,,,,
64,16,1,0,0,6.04248,,,,
64,16,1,0,0,22.094727,,,,
64,16,1,0,0,20.202637,,,,
64,16,1,0,0,21.118164,,,,
-,-,-,-,-,,,,,
128,16,1,0,0,77.575684,,,,
128,16,1,0,0,13.397217,,,,
128,16,1,0,0,2044.281006,,,,
128,16,1,0,0,5.432129,,,,
128,16,1,0,0,12.60376,,,,
128,16,1,0,0,10.131836,,,,
128,16,1,0,0,1997.131348,,,,
128,16,1,0,0,652.801514,,,,
128,16,1,0,0,291.625977,,,,
128,16,1,0,0,24.44458,,,,
128,16,1,0,0,126.00708,,,,
128,16,1,0,0,68.725586,,,,
128,16,1,0,0,62.744141,,,,
128,16,1,0,0,105.010986,,,,
128,16,1,0,0,82.122803,,,,
128,16,1,0,0,20.446777,,,,
-,-,-,-,-,,,,,
256,16,1,0,0,525.497437,,,,
256,16,1,0,0,548.904419,,,,
256,16,1,0,0,14.587402,,,,
256,16,1,0,0,223.861694,,,,
256,16,1,0,0,463.95874,,,,
256,16,1,0,0,454.208374,,,,
256,16,1,0,0,75.698853,,,,
256,16,1,0,0,1645.370483,,,,
256,16,1,0,0,236.816406,,,,
256,16,1,0,0,293.075562,,,,
256,16,1,0,0,71.19751,,,,
256,16,1,0,0,185.211182,,,,
256,16,1,0,0,209.854126,,,,
256,16,1,0,0,209.30481,,,,
256,16,1,0,0,97.930908,,,,
256,16,1,0,0,99.28894,,,,
-,-,-,-,-,,,,,
512,16,1,0,0,21.583557,,,,
512,16,1,0,0,23.887634,,,,
512,16,1,0,0,375.823975,,,,
512,16,1,0,0,1183.113098,,,,
512,16,1,0,0,1186.767578,,,,
512,16,1,0,0,622.612,,,,
512,16,1,0,0,1081.680298,,,,
512,16,1,0,0,712.722778,,,,
512,16,1,0,0,726.806641,,,,
512,16,1,0,0,552.711487,,,,
512,16,1,0,0,1144.577026,,,,
512,16,1,0,0,1095.687866,,,,
512,16,1,0,0,821.151733,,,,
512,16,1,0,0,533.157349,,,,
512,16,1,0,0,805.06134,,,,
512,16,1,0,0,568.03894,,,,
-,-,-,-,-,,,,,
1024,16,1,0,0,872.459412,,,,
1024,16,1,0,0,588.272095,,,,
